date,open,open,open,open,open,high,high,high,high,high,low,low,low,low,low,close,close,close,close,close,volume,volume,volume,volume,volume
,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2025-03-18,843.79443359375,1259.2833251953125,1544.34619140625,1233.9217529296875,3442.32080078125,843.79443359375,1259.2833251953125,1544.34619140625,1233.9217529296875,3442.32080078125,843.79443359375,1259.2833251953125,1544.34619140625,1233.9217529296875,3442.32080078125,843.79443359375,1259.2833251953125,1544.34619140625,1233.9217529296875,3442.32080078125,0,0,0,0,0
2025-03-19,855.930432694155,1295.6029599370165,1556.9238965430377,1236.113132982547,3490.840057701268,863.823739278078,1308.2057883620175,1556.9238965430377,1248.2645525643281,3490.840057701268,854.5490799535085,1292.1794251380722,1527.5920028100838,1233.8720835165427,3407.9239948703316,860.4197387695312,1303.0455322265625,1540.94677734375,1242.1888427734375,3441.730224609375,15221406,11278014,7387068,16162399,3051244
2025-03-20,865.3037412350927,1309.8927772461004,1546.2400259441436,1246.8700894970418,3456.394090935439,875.1703745445009,1314.1102350516276,1584.9931759348294,1267.9359786597456,3522.2840156560787,862.985106495842,1301.0113557334153,1546.2400259441436,1245.0773228865291,3456.394090935439,872.5803833007812,1311.5797119140625,1569.1131591796875,1264.101318359375,3506.734130859375,17833978,10886735,7186750,15971477,2845192
2025-03-21,866.0684175252852,1305.923445707521,1532.59385494289,1269.927977701306,3419.9800483054673,875.2196836615442,1338.6707661545943,1557.7980274559397,1275.9041093610767,3558.993625808531,866.0684175252852,1301.5571120874529,1518.7049607743006,1265.0474458622177,3410.1383791017106,873.3696899414062,1332.81591796875,1546.7742919921875,1271.2725830078125,3521.44775390625,33508264,60494318,10074677,21780769,4161925
2025-03-24,877.6369838460287,1345.5675050388625,1552.0189913058653,1285.86434660882,3543.000847877303,890.1676194932312,1362.4870024308004,1560.9060103586978,1300.8046759652354,3591.963151261163,874.997671627427,1334.7510627437973,1527.4947691913153,1279.141198398433,3510.129769454268,887.9969482421875,1347.750732421875,1546.968505859375,1296.920166015625,3571.492431640625,17393736,9352280,8857726,20299319,1834751
2025-03-25,890.4143157035983,1348.5941513991709,1558.8663000022038,1302.497915186312,3587.288541279539,909.5555477752322,1353.3574463042776,1589.1209562659596,1302.497915186312,3651.259393181643,888.7369760332164,1319.8658696966822,1558.8663000022038,1277.4977874103538,3580.3993726131584,898.5789184570312,1333.4112548828125,1581.6422119140625,1280.33642578125,3599.836669921875,39101416,16419207,9890140,13713899,3135390
2025-03-26,900.3302775382388,1333.7586400786652,1579.2627320763197,1285.8643858858131,3589.9948774821405,901.5636066855513,1347.6017762925185,1590.6749935166006,1288.6532960847499,3622.226344067718,888.9836493829623,1321.304687138062,1549.1537869998338,1263.7028966635362,3568.441718073897,891.2283325195312,1325.6710205078125,1553.475830078125,1267.98583984375,3578.234130859375,24478442,10859639,6651302,12074747,1734499
2025-03-27,887.9969842041877,1322.9420827344788,1549.688079270318,1273.0655062272906,3557.616055783924,908.2235821777275,1341.1515523929718,1573.3866387891755,1279.8882324099652,3605.0035991217837,887.0596420099644,1322.9420827344788,1540.4125339270274,1266.242780044616,3553.334833368605,900.5029296875,1326.415283203125,1557.4581298828125,1273.115234375,3593.390380859375,41658100,15109614,9426573,15028056,2528474
2025-03-28,902.3036249715724,1325.7702231722565,1544.2975705237486,1274.9081198538831,3593.193696748786,905.7569466636451,1347.5521031600986,1552.504639118573,1290.5954658598978,3602.9861102885666,890.8829847599874,1317.0375564815454,1515.1598805138667,1263.9518781988888,3535.0293312665412,901.908935546875,1338.025634765625,1525.5037841796875,1270.027587890625,3549.0537109375,28773648,8266544,6799047,18147129,2051919
2025-04-01,888.9836405685396,1329.739654923708,1495.0061979771754,1259.5693287834792,3516.13323836803,892.8809726796349,1341.995067068455,1502.92196020728,1272.8164693011493,3527.2543730344664,870.9030234039785,1305.328040709696,1474.2212903040318,1244.330265958221,3469.188522585517,872.1363525390625,1308.3546142578125,1482.6226806640625,1247.6170654296875,3494.580078125,28511006,14288024,12680733,12099648,2618493
2025-04-02,873.5423260418547,1312.026343402594,1491.0726643663595,1242.5873186806543,3487.8873911642027,887.602278026219,1327.705290380845,1510.9349273715397,1250.5554948342144,3507.6692413832784,873.5423260418547,1312.026343402594,1491.0726643663595,1238.9518139936486,3474.1583113674365,886.4676513671875,1321.056640625,1505.593017578125,1246.1729736328125,3487.838134765625,11573564,8042214,6193478,10142590,1764313
